Export of Imageset Testgame_2018_02_02_Antman (ball annotations in bounding boxes)
[team|NaoDevils]
[set|Testgame_2018_02_02_Antman]
[format: "label::annotation_type|filename|img_width|img_height|x1|y1|x2|y2|center_x|center_y|width|height"]
label::ball|16_02_2018__11_18_08_0267_upper.png|640|480|280|132|306|162|293.0|147.0|26|30
label::ball|16_02_2018__11_18_08_0268_upper.png|640|480|296|172|323|198|309.5|185.0|27|26
label::ball|16_02_2018__11_18_08_0272_upper.png|640|480|14|170|52|199|33.0|184.5|38|29
label::ball|16_02_2018__11_18_08_0276_upper.png|640|480|317|103|346|135|331.5|119.0|29|32
label::ball|16_02_2018__11_18_08_0281_upper.png|640|480|296|144|333|185|314.5|164.5|37|41
label::ball|16_02_2018__11_18_08_0283_upper.png|640|480|522|147|567|193|544.5|170.0|45|46
label::ball|16_02_2018__11_18_08_0287_upper.png|640|480|356|138|403|189|379.5|163.5|47|51
label::ball|16_02_2018__11_18_08_0288_upper.png|640|480|282|139|333|188|307.5|163.5|51|49
label::ball|16_02_2018__11_18_08_0289_upper.png|640|480|349|181|395|226|372.0|203.5|46|45
label::ball|16_02_2018__11_18_08_0290_upper.png|640|480|258|160|317|224|287.5|192.0|59|64
label::ball|16_02_2018__11_18_08_0291_upper.png|640|480|287|124|362|197|324.5|160.5|75|73
label::ball|16_02_2018__11_18_08_0292_upper.png|640|480|334|173|429|270|381.5|221.5|95|97
label::ball|16_02_2018__11_18_08_0293_upper.png|640|480|272|261|395|408|333.5|334.5|123|147
label::ball|16_02_2018__11_18_08_0306_upper.png|640|480|459|246|640|439|549.5|342.5|181|193
label::ball|16_02_2018__11_18_08_0307_upper.png|640|480|499|33|637|265|568.0|149.0|138|232
label::ball|16_02_2018__11_18_08_0308_upper.png|640|480|585|256|640|425|612.5|340.5|55|169
label::ball|16_02_2018__11_18_08_0309_upper.png|640|480|434|392|614|480|524.0|436.0|180|88
label::ball|16_02_2018__11_18_08_0333_upper.png|640|480|112|166|164|208|138.0|187.0|52|42
label::ball|16_02_2018__11_18_08_0340_upper.png|640|480|321|216|391|298|356.0|257.0|70|82
label::ball|16_02_2018__11_18_08_0341_upper.png|640|480|315|246|397|345|356.0|295.5|82|99
label::ball|16_02_2018__11_18_08_0342_upper.png|640|480|182|254|266|354|224.0|304.0|84|100
label::ball|16_02_2018__11_18_08_0359_upper.png|640|480|304|147|359|197|331.5|172.0|55|50
label::ball|16_02_2018__11_18_08_0360_upper.png|640|480|305|155|353|202|329.0|178.5|48|47
label::ball|16_02_2018__11_18_08_0361_upper.png|640|480|300|147|355|207|327.5|177.0|55|60
label::ball|16_02_2018__11_18_08_0362_upper.png|640|480|304|155|352|203|328.0|179.0|48|48
label::ball|16_02_2018__11_18_08_0363_upper.png|640|480|257|143|308|196|282.5|169.5|51|53
label::ball|16_02_2018__11_18_08_0364_upper.png|640|480|276|128|326|186|301.0|157.0|50|58
label::ball|16_02_2018__11_18_08_0366_upper.png|640|480|315|163|359|213|337.0|188.0|44|50
label::ball|16_02_2018__11_18_08_0367_upper.png|640|480|285|153|331|201|308.0|177.0|46|48
label::ball|16_02_2018__11_18_08_0370_upper.png|640|480|339|158|405|234|372.0|196.0|66|76
label::ball|16_02_2018__11_18_08_0371_upper.png|640|480|331|176|393|243|362.0|209.5|62|67
label::ball|16_02_2018__11_18_08_0372_upper.png|640|480|312|151|395|224|353.5|187.5|83|73
label::ball|16_02_2018__11_18_08_0373_upper.png|640|480|243|149|322|224|282.5|186.5|79|75
label::ball|16_02_2018__11_18_08_0374_upper.png|640|480|327|215|418|298|372.5|256.5|91|83
label::ball|16_02_2018__11_18_08_0396_upper.png|640|480|506|107|541|131|523.5|119.0|35|24
label::ball|16_02_2018__11_18_08_0400_upper.png|640|480|281|126|304|149|292.5|137.5|23|23
label::ball|16_02_2018__11_18_08_0401_upper.png|640|480|262|139|288|162|275.0|150.5|26|23
label::ball|16_02_2018__11_18_08_0421_upper.png|640|480|361|118|388|143|374.5|130.5|27|25
label::ball|16_02_2018__11_18_08_0425_upper.png|640|480|269|154|321|199|295.0|176.5|52|45
label::ball|16_02_2018__11_18_08_0429_upper.png|640|480|586|211|627|266|606.5|238.5|41|55
label::ball|16_02_2018__11_18_08_0430_upper.png|640|480|0|162|41|210|20.5|186.0|41|48
label::ball|16_02_2018__11_18_08_0431_upper.png|640|480|334|170|382|206|358.0|188.0|48|36
label::ball|16_02_2018__11_18_08_0432_upper.png|640|480|341|155|382|203|361.5|179.0|41|48
label::ball|16_02_2018__11_18_08_0434_upper.png|640|480|311|88|359|150|335.0|119.0|48|62
label::ball|16_02_2018__11_18_08_0435_upper.png|640|480|305|160|362|220|333.5|190.0|57|60
label::ball|16_02_2018__11_18_08_0436_upper.png|640|480|254|168|328|242|291.0|205.0|74|74
label::ball|16_02_2018__11_18_08_0437_upper.png|640|480|263|132|354|228|308.5|180.0|91|96
label::ball|16_02_2018__11_18_08_0438_upper.png|640|480|321|238|426|391|373.5|314.5|105|153
label::ball|16_02_2018__11_18_08_0442_upper.png|640|480|357|145|407|209|382.0|177.0|50|64
label::ball|16_02_2018__11_18_08_0443_upper.png|640|480|277|139|321|185|299.0|162.0|44|46
label::ball|16_02_2018__11_18_08_0447_upper.png|640|480|341|219|400|273|370.5|246.0|59|54
label::ball|16_02_2018__11_18_08_0449_upper.png|640|480|161|88|209|142|185.0|115.0|48|54
label::ball|16_02_2018__11_18_08_0467_upper.png|640|480|289|65|327|108|308.0|86.5|38|43
label::ball|16_02_2018__11_18_08_0471_upper.png|640|480|148|144|185|174|166.5|159.0|37|30
label::ball|16_02_2018__11_18_08_0474_upper.png|640|480|185|90|209|120|197.0|105.0|24|30
label::ball|16_02_2018__11_18_08_0496_upper.png|640|480|291|156|323|172|307.0|164.0|32|16
label::ball|16_02_2018__11_18_08_0497_upper.png|640|480|301|165|332|197|316.5|181.0|31|32
label::ball|16_02_2018__11_18_08_0507_upper.png|640|480|513|75|529|90|521.0|82.5|16|15
label::ball|16_02_2018__11_18_08_0515_upper.png|640|480|620|41|640|67|630.0|54.0|20|26
label::ball|16_02_2018__11_18_08_0522_upper.png|640|480|45|71|77|89|61.0|80.0|32|18
label::ball|16_02_2018__11_18_08_0528_upper.png|640|480|162|53|182|75|172.0|64.0|20|22
label::ball|16_02_2018__11_18_08_0534_upper.png|640|480|288|163|328|194|308.0|178.5|40|31
label::ball|16_02_2018__11_18_08_0541_upper.png|640|480|584|108|619|139|601.5|123.5|35|31
label::ball|16_02_2018__11_18_08_0542_upper.png|640|480|275|160|308|193|291.5|176.5|33|33
label::ball|16_02_2018__11_18_08_0545_upper.png|640|480|273|167|309|204|291.0|185.5|36|37
label::ball|16_02_2018__11_18_08_0546_upper.png|640|480|434|179|459|212|446.5|195.5|25|33
label::ball|16_02_2018__11_18_08_0547_upper.png|640|480|12|141|44|181|28.0|161.0|32|40
label::ball|16_02_2018__11_18_08_0548_upper.png|640|480|304|146|331|184|317.5|165.0|27|38
label::ball|16_02_2018__11_18_08_0549_upper.png|640|480|285|145|327|174|306.0|159.5|42|29
label::ball|16_02_2018__11_18_08_0552_upper.png|640|480|295|201|361|270|328.0|235.5|66|69
label::ball|16_02_2018__11_18_08_0565_upper.png|640|480|10|388|154|480|82.0|434.0|144|92
label::ball|16_02_2018__11_18_08_0586_upper.png|640|480|89|131|139|181|114.0|156.0|50|50
label::ball|16_02_2018__11_18_08_0587_upper.png|640|480|475|218|523|273|499.0|245.5|48|55
label::ball|16_02_2018__11_18_08_0590_upper.png|640|480|295|132|342|182|318.5|157.0|47|50
label::ball|16_02_2018__11_18_08_0591_upper.png|640|480|308|163|355|205|331.5|184.0|47|42
label::ball|16_02_2018__11_18_08_0592_upper.png|640|480|142|172|183|226|162.5|199.0|41|54
label::ball|16_02_2018__11_18_08_0593_upper.png|640|480|422|144|468|196|445.0|170.0|46|52
label::ball|16_02_2018__11_18_08_0651_upper.png|640|480|513|96|529|109|521.0|102.5|16|13
